debugcNPJT:debugKocwS,1,1486147866576,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1194, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
debugcNPJT:debugKocwS,2,1486147867846,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 1267, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
debugcNPJT:debugKocwS,3,1486147868382,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 534, ""action"": ""NextPage"", ""template"": ""instructions/instruct-3.html""}"
debugcNPJT:debugKocwS,4,1486147869403,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 3, ""viewTime"": 1020, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
debugcNPJT:debugKocwS,5,1486147873903,"{""rt"": 4491, ""hit"": false, ""color"": ""blue"", ""relation"": ""incongruent"", ""phase"": ""TEST"", ""word"": ""RED"", ""response"": ""red""}"
debugcNPJT:debugKocwS,6,1486150591799,"{""rt"": 2717894, ""hit"": true, ""color"": ""red"", ""relation"": ""incongruent"", ""phase"": ""TEST"", ""word"": ""GREEN"", ""response"": ""red""}"
debugcNPJT:debugKocwS,7,1486150593318,"{""rt"": 1496, ""hit"": true, ""color"": ""blue"", ""relation"": ""unrelated"", ""phase"": ""TEST"", ""word"": ""ZAMBONI"", ""response"": ""blue""}"
debugcNPJT:debugKocwS,8,1486150596850,"{""rt"": 3531, ""hit"": true, ""color"": ""green"", ""relation"": ""incongruent"", ""phase"": ""TEST"", ""word"": ""BLUE"", ""response"": ""green""}"
debugcNPJT:debugKocwS,9,1486150598142,"{""rt"": 1292, ""hit"": true, ""color"": ""red"", ""relation"": ""congruent"", ""phase"": ""TEST"", ""word"": ""RED"", ""response"": ""red""}"
debugcNPJT:debugKocwS,10,1486150599514,"{""rt"": 1372, ""hit"": true, ""color"": ""red"", ""relation"": ""unrelated"", ""phase"": ""TEST"", ""word"": ""SHIP"", ""response"": ""red""}"
debugcNPJT:debugKocwS,11,1486150600966,"{""rt"": 1452, ""hit"": true, ""color"": ""green"", ""relation"": ""unrelated"", ""phase"": ""TEST"", ""word"": ""MONKEY"", ""response"": ""green""}"
debugcNPJT:debugKocwS,12,1486150602188,"{""rt"": 1222, ""hit"": true, ""color"": ""blue"", ""relation"": ""congruent"", ""phase"": ""TEST"", ""word"": ""BLUE"", ""response"": ""blue""}"
debugcNPJT:debugKocwS,13,1486150603564,"{""rt"": 1375, ""hit"": true, ""color"": ""green"", ""relation"": ""congruent"", ""phase"": ""TEST"", ""word"": ""GREEN"", ""response"": ""green""}"
debugcNPJT:debugKocwS,14,1486150603583,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
debugcNPJT:debugKocwS,15,1486150719084,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
debugbJdGx:debuglTrWx,0,1486416624327,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""]}"
